2021-01-08-09:10:00;1.2267;0.77852;51.61;3808;19.9409;5.372;123.145;
2021-01-08-09:10:03;1.2267;0.77856;51.61;3808.25;19.93863;5.372;123.135;
2021-01-08-09:10:06;1.2267;0.77852;51.65;3808.25;19.9388;5.372;123.13;
2021-01-08-09:10:09;1.2268;0.7786;51.64;3808.25;19.9374;5.3715;123.145;
2021-01-08-09:10:12;1.2268;0.7786;51.62;3808.25;19.9325;5.371;123.135;
2021-01-08-09:10:15;1.2268;0.7786;51.62;3808.25;19.9325;5.371;123.135;
2021-01-08-09:10:18;1.2268;0.77862;51.61;3808.25;19.9325;5.371;123.135;
2021-01-08-09:10:21;1.2268;0.77864;51.62;3808.25;19.9325;5.371;123.135;
2021-01-08-09:10:24;1.2268;0.77863;51.64;3809;19.933;5.3715;123.15;
2021-01-08-09:10:27;1.2268;0.77866;51.64;3809;19.93503;5.3715;123.15;
2021-01-08-09:10:30;1.2268;0.77865;51.63;3809;19.93545;5.371;123.155;
2021-01-08-09:10:33;1.2268;0.77865;51.63;3809;19.93716;5.3735;123.155;
2021-01-08-09:10:36;1.2268;0.77865;51.65;3809;19.93721;5.3735;123.19;
2021-01-08-09:10:39;1.22675;0.77865;51.63;3809;19.93724;5.3725;123.17;
2021-01-08-09:10:42;1.2267;0.77856;51.62;3808.75;19.94225;5.3725;123.17;
2021-01-08-09:10:45;1.2267;0.77856;51.62;3808.75;19.94189;5.374;123.165;
2021-01-08-09:10:48;1.2267;0.77856;51.62;3808.75;19.94181;5.3735;123.16;
2021-01-08-09:10:51;1.2267;0.77855;51.62;3808.75;19.9431;5.3735;123.155;
2021-01-08-09:10:54;1.2267;0.77855;51.62;3808.75;19.94163;5.374;123.155;
2021-01-08-09:10:57;1.2267;0.77855;51.61;3808.5;19.94481;5.3755;123.155;
2021-01-08-09:11:00;1.2267;0.7785;51.6;3808.75;19.94475;5.3725;123.155;
2021-01-08-09:11:03;1.2267;0.77852;51.63;3808.75;19.94366;5.3715;123.165;
2021-01-08-09:11:06;1.2267;0.77852;51.63;3809;19.94428;5.3715;123.165;
2021-01-08-09:11:09;1.2267;0.77852;51.62;3809;19.94609;5.3715;123.16;
2021-01-08-09:11:12;1.2267;0.77852;51.61;3808.75;19.94609;5.3715;123.175;
2021-01-08-09:11:15;1.2267;0.77852;51.61;3808.75;19.94609;5.3715;123.23;
2021-01-08-09:11:18;1.2267;0.77852;51.61;3809;19.94443;5.373;123.22;
2021-01-08-09:11:21;1.22675;0.77857;51.61;3809;19.9442;5.3735;123.235;
2021-01-08-09:11:24;1.22675;0.77857;51.61;3809;19.94432;5.3735;123.25;
2021-01-08-09:11:27;1.22675;0.77851;51.61;3809;19.94454;5.3735;123.25;
2021-01-08-09:11:30;1.2266;0.77846;51.6;3808.75;19.94966;5.375;123.265;
2021-01-08-09:11:33;1.2266;0.77847;51.61;3808.75;19.9496;5.3755;123.17;
2021-01-08-09:11:36;1.2266;0.77847;51.6;3808.75;19.94918;5.3735;123.205;
2021-01-08-09:11:39;1.2266;0.7785;51.6;3808.75;19.94382;5.373;123.2;
2021-01-08-09:11:42;1.2266;0.77846;51.59;3809;19.94357;5.373;123.215;
2021-01-08-09:11:45;1.2266;0.77846;51.59;3809;19.94333;5.374;123.215;
2021-01-08-09:11:48;1.22665;0.77847;51.59;3809;19.93899;5.3735;123.205;
2021-01-08-09:11:51;1.22665;0.77846;51.59;3809;19.9394;5.3735;123.195;
2021-01-08-09:11:54;1.22665;0.77845;51.6;3809;19.93886;5.3735;123.205;
2021-01-08-09:11:57;1.22655;0.77845;51.58;3809.25;19.93874;5.3735;123.205;
2021-01-08-09:12:00;1.22655;0.77842;51.57;3809.25;19.93869;5.3735;123.205;
2021-01-08-09:12:03;1.22655;0.77845;51.56;3809.25;19.9373;5.3735;123.215;
2021-01-08-09:12:06;1.22655;0.77844;51.55;3809;19.93937;5.3735;123.205;
2021-01-08-09:12:09;1.22655;0.77841;51.54;3809;19.94044;5.3735;123.18;
2021-01-08-09:12:12;1.22655;0.77841;51.52;3809;19.94296;5.3755;123.17;
2021-01-08-09:12:15;1.22655;0.77841;51.51;3808.75;19.94527;5.3755;123.155;
2021-01-08-09:12:18;1.22655;0.77841;51.5;3808.75;19.9439;5.376;123.145;
2021-01-08-09:12:21;1.22655;0.77841;51.51;3808.75;19.94534;5.376;123.14;
2021-01-08-09:12:24;1.22655;0.77841;51.51;3808.75;19.94534;5.376;123.145;
2021-01-08-09:12:27;1.22655;0.77841;51.49;3808.75;19.94332;5.377;123.14;
2021-01-08-09:12:30;1.22655;0.77841;51.5;3809;19.94502;5.377;123.15;
2021-01-08-09:12:33;1.22655;0.77841;51.51;3808.75;19.94314;5.377;123.155;
2021-01-08-09:12:36;1.22655;0.77845;51.51;3808.75;19.94364;5.377;123.15;
2021-01-08-09:12:39;1.2266;0.77845;51.51;3808.75;19.94306;5.377;123.145;
2021-01-08-09:12:42;1.2266;0.77845;51.5;3808.75;19.94306;5.377;123.14;
2021-01-08-09:12:45;1.2266;0.77845;51.51;3808.75;19.94315;5.377;123.13;
2021-01-08-09:12:48;1.2266;0.77849;51.53;3808.75;19.94325;5.377;123.135;
2021-01-08-09:12:51;1.2266;0.77846;51.55;3808.75;19.95127;5.378;123.125;
2021-01-08-09:12:54;1.22665;0.77849;51.54;3808.75;19.95088;5.379;123.115;
2021-01-08-09:12:57;1.2267;0.7785;51.56;3808.75;19.95047;5.379;123.125;
2021-01-08-09:13:00;1.22675;0.77851;51.55;3808.75;19.95005;5.379;123.125;
